Date : 2026-01-17 02:12:26
Directory : e:\deno-code\deno-preact-iso
Total : 101 files,  5020 codes, 227 comments, 378 blanks, all 5625 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| e:\deno-code\deno-preact-iso\libs\shadcn\pro\layouts\Sidebar.tsx             | TypeScript JSX     |        200 |          1 |         14 |        215 |
| e:\deno-code\deno-preact-iso\libs\shadcn\pro\layouts\ThemeButton.tsx         | TypeScript JSX     |         22 |          0 |          3 |         25 |
| e:\deno-code\deno-preact-iso\libs\shadcn\utils\cn.tsx                        | TypeScript JSX     |          5 |          0 |          2 |          7 |
| e:\deno-code\deno-preact-iso\plugins\admin\api\datasource.ts                 | TypeScript         |         18 |          0 |          4 |         22 |
| e:\deno-code\deno-preact-iso\plugins\admin\api\mod.ts                        | TypeScript         |          1 |          0 |          0 |          1 |
| e:\deno-code\deno-preact-iso\plugins\admin\api\types.ts                      | TypeScript         |         10 |          0 |          3 |         13 |
| e:\deno-code\deno-preact-iso\plugins\admin\app\App.tsx                       | TypeScript JSX     |         32 |          2 |          6 |         40 |
| e:\deno-code\deno-preact-iso\plugins\admin\app\api\mod.ts                    | TypeScript         |          2 |          0 |          1 |          3 |
| e:\deno-code\deno-preact-iso\plugins\admin\app\client.tsx                    | TypeScript JSX     |         76 |          0 |          2 |         78 |
| e:\deno-code\deno-preact-iso\plugins\admin\app\data\menus.tsx                | TypeScript JSX     |         18 |          0 |          2 |         20 |
| e:\deno-code\deno-preact-iso\plugins\admin\app\routes.tsx                    | TypeScript JSX     |         10 |          0 |          1 |         11 |
| e:\deno-code\deno-preact-iso\plugins\admin\app\routes\dash\Dash.tsx          | TypeScript JSX     |         16 |          0 |          2 |         18 |
| e:\deno-code\deno-preact-iso\plugins\admin\app\routes\dash\PluginManager.tsx | TypeScript JSX     |          5 |          0 |          2 |          7 |
| e:\deno-code\deno-preact-iso\plugins\admin\app\routes\home.tsx               | TypeScript JSX     |         45 |          0 |          6 |         51 |
| e:\deno-code\deno-preact-iso\plugins\admin\app\routes\tasker.tsx             | TypeScript JSX     |          3 |          0 |          0 |          3 |
| e:\deno-code\deno-preact-iso\plugins\admin\client.js                         | JavaScript         |          3 |          0 |          0 |          3 |
| e:\deno-code\deno-preact-iso\plugins\admin\client.json                       | JSON               |          1 |          0 |          0 |          1 |
| e:\deno-code\deno-preact-iso\plugins\admin\client.tsx                        | TypeScript JSX     |          1 |          0 |          0 |          1 |
| e:\deno-code\deno-preact-iso\plugins\admin\deno.json                         | JSON               |         35 |          0 |          0 |         35 |
| e:\deno-code\deno-preact-iso\plugins\admin\deno.lock                         | JSON               |        135 |          0 |          1 |        136 |
| e:\deno-code\deno-preact-iso\plugins\admin\orpc-client.ts                    | TypeScript         |         14 |          0 |          2 |         16 |
| e:\deno-code\deno-preact-iso\plugins\admin\plugin.ts                         | TypeScript         |         21 |          0 |          9 |         30 |
| e:\deno-code\deno-preact-iso\plugins\shopxo\supplier\README.md               | Markdown           |          1 |          0 |          1 |          2 |
| e:\deno-code\deno-preact-iso\plugins\shopxo\supplier\deno.json               | JSON               |         34 |          0 |          0 |         34 |
| e:\deno-code\deno-preact-iso\plugins\shopxo\supplier\dev.tsx                 | TypeScript JSX     |          5 |          0 |          4 |          9 |
| e:\deno-code\deno-preact-iso\plugins\shopxo\supplier\plugin.ts               | TypeScript         |         29 |          8 |          6 |         43 |
| e:\deno-code\deno-preact-iso\plugins\shopxo\supplier\src\App.tsx             | TypeScript JSX     |         28 |          2 |          5 |         35 |
| e:\deno-code\deno-preact-iso\plugins\shopxo\supplier\src\Root.tsx            | TypeScript JSX     |         22 |          0 |          1 |         23 |
| e:\deno-code\deno-preact-iso\plugins\shopxo\supplier\src\app\routes\home.tsx | TypeScript JSX     |         31 |         16 |          6 |         53 |
| e:\deno-code\deno-preact-iso\plugins\shopxo\supplier\src\client.tsx          | TypeScript JSX     |          4 |          0 |          3 |          7 |
| e:\deno-code\deno-preact-iso\plugins\shopxo\supplier\src\routes.tsx          | TypeScript JSX     |          4 |          1 |          2 |          7 |
| e:\deno-code\deno-preact-iso\server\api\env.ts                               | TypeScript         |         97 |          5 |         12 |        114 |
| e:\deno-code\deno-preact-iso\server\api\mod.ts                               | TypeScript         |          2 |          0 |          1 |          3 |
| e:\deno-code\deno-preact-iso\server\api\plugin.ts                            | TypeScript         |         41 |          1 |          7 |         49 |
| e:\deno-code\deno-preact-iso\server\api\types.ts                             | TypeScript         |          2 |          1 |          2 |          5 |
| e:\deno-code\deno-preact-iso\server\app\App.tsx                              | TypeScript JSX     |         32 |          2 |          4 |         38 |
| e:\deno-code\deno-preact-iso\server\app\client.tsx                           | TypeScript JSX     |         76 |          0 |          2 |         78 |
| e:\deno-code\deno-preact-iso\server\app\routes.tsx                           | TypeScript JSX     |          4 |          0 |          2 |          6 |
| e:\deno-code\deno-preact-iso\server\app\routes\home.tsx                      | TypeScript JSX     |        174 |         10 |         10 |        194 |
| e:\deno-code\deno-preact-iso\server\app\types\Dialect.ts                     | TypeScript         |          4 |          0 |          1 |          5 |
| e:\deno-code\deno-preact-iso\server\client.json                              | JSON               |          1 |          0 |          0 |          1 |
| e:\deno-code\deno-preact-iso\server\config.ts                                | TypeScript         |         27 |          0 |          3 |         30 |
| e:\deno-code\deno-preact-iso\server\db\mod.tsx                               | TypeScript JSX     |          2 |          0 |          2 |          4 |
| e:\deno-code\deno-preact-iso\server\deno.json                                | JSON               |         48 |          0 |          0 |         48 |
| e:\deno-code\deno-preact-iso\server\deno.lock                                | JSON               |        157 |          0 |          1 |        158 |
| e:\deno-code\deno-preact-iso\server\manager.ts                               | TypeScript         |          2 |          0 |          1 |          3 |
| e:\deno-code\deno-preact-iso\server\orpc-client.ts                           | TypeScript         |         15 |          1 |          2 |         18 |
| e:\deno-code\deno-preact-iso\server\plugin.ts                                | TypeScript         |         28 |          0 |          5 |         33 |
| e:\deno-code\deno-preact-iso\server\server.tsx                               | TypeScript JSX     |         72 |          6 |          4 |         82 |
| e:\deno-code\deno-preact-iso\server\tests\test-api.ts                        | TypeScript         |          5 |          0 |          1 |          6 |
| e:\deno-code\deno-preact-iso\tailwind.config.js                              | JavaScript         |         70 |          0 |          1 |         71 |
| Total                                                                        |                    |      5,020 |        227 |        378 |      5,625 |
+------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
